Frame_No,LH_Hand_X,LH_Hand_Y,LH_Hand_Z,LH_Elbow_X,LH_Elbow_Y,LH_Elbow_Z,LH_Shoulder_X,LH_Shoulder_Y,LH_Shoulder_Z,RH_Hand_X,RH_Hand_Y,RH_Hand_Z,RH_Elbow_X,RH_Elbow_Y,RH_Elbow_Z,RH_Shoulder_X,RH_Shoulder_Y,RH_Shoulder_Z,Torso_X,Torso_Y,Torso_Z
71,       275,       581,      988,      604,      482,      1139,      784,      390,      1242,      1524,      616,      1032,      1250,      530,      1155,      1090,      406,      1239,      920,      537,      1258,      
72,       276,       577,      980,      603,      482,      1137,      782,      390,      1241,      1524,      613,      1032,      1249,      529,      1154,      1088,      405,      1238,      919,      537,      1257,      
73,       276,       578,      977,      601,      482,      1136,      780,      390,      1239,      1524,      612,      1031,      1248,      528,      1154,      1086,      405,      1238,      918,      537,      1256,      
74,       276,       578,      977,      601,      482,      1136,      780,      390,      1239,      1524,      612,      1031,      1248,      528,      1154,      1086,      405,      1238,      918,      537,      1256,      
75,       275,       580,      978,      599,      482,      1133,      779,      390,      1238,      1521,      611,      1033,      1247,      527,      1154,      1085,      404,      1237,      917,      537,      1256,      
76,       275,       578,      973,      598,      482,      1131,      778,      390,      1237,      1520,      613,      1031,      1246,      526,      1153,      1084,      404,      1237,      916,      537,      1255,      
77,       279,       586,      982,      586,      491,      1123,      777,      389,      1236,      1524,      611,      1027,      1243,      525,      1154,      1073,      402,      1234,      913,      535,      1253,      
78,       279,       585,      981,      587,      489,      1123,      776,      389,      1235,      1521,      608,      1026,      1243,      525,      1154,      1072,      402,      1234,      914,      535,      1253,      
79,       279,       584,      974,      588,      488,      1123,      779,      389,      1237,      1518,      607,      1029,      1243,      525,      1153,      1072,      402,      1234,      914,      535,      1253,      
80,       279,       584,      974,      588,      488,      1123,      779,      389,      1237,      1518,      607,      1029,      1243,      525,      1153,      1072,      402,      1234,      914,      535,      1253,      
81,       278,       586,      974,      588,      488,      1122,      780,      389,      1238,      1514,      610,      1033,      1242,      525,      1153,      1072,      402,      1234,      914,      535,      1253,      
82,       278,       586,      974,      588,      488,      1122,      780,      389,      1238,      1514,      610,      1033,      1242,      525,      1153,      1072,      402,      1234,      914,      535,      1253,      
83,       280,       593,      968,      588,      488,      1122,      782,      389,      1239,      1512,      609,      1031,      1239,      525,      1154,      1071,      402,      1234,      914,      535,      1253,      
84,       279,       594,      973,      588,      487,      1122,      782,      389,      1240,      1509,      610,      1024,      1239,      526,      1154,      1071,      402,      1234,      914,      535,      1253,      
85,       279,       594,      973,      588,      487,      1122,      782,      389,      1240,      1509,      610,      1024,      1239,      526,      1154,      1071,      402,      1234,      914,      535,      1253,      
86,       280,       595,      970,      588,      487,      1122,      777,      390,      1237,      1506,      609,      1025,      1238,      526,      1154,      1071,      402,      1234,      914,      535,      1253,      
87,       280,       595,      970,      588,      487,      1122,      777,      390,      1237,      1506,      609,      1025,      1238,      526,      1154,      1071,      402,      1234,      914,      535,      1253,      
88,       279,       592,      982,      584,      492,      1126,      776,      387,      1239,      1503,      609,      1030,      1206,      512,      1175,      1077,      401,      1243,      901,      526,      1260,      
89,       278,       590,      988,      584,      491,      1126,      773,      389,      1239,      1500,      609,      1034,      1220,      521,      1165,      1075,      402,      1244,      901,      530,      1259,      
90,       277,       587,      992,      585,      491,      1127,      771,      390,      1239,      1500,      609,      1038,      1222,      522,      1164,      1072,      402,      1242,      904,      532,      1258,      
91,       275,       580,      989,      585,      491,      1127,      762,      391,      1237,      1500,      610,      1043,      1211,      516,      1172,      1063,      401,      1239,      904,      518,      1254,      
92,       277,       586,      996,      585,      491,      1127,      762,      391,      1238,      1497,      607,      1046,      1218,      520,      1167,      1064,      402,      1241,      902,      528,      1257,      
93,       277,       586,      996,      585,      491,      1127,      762,      391,      1238,      1497,      607,      1046,      1218,      520,      1167,      1064,      402,      1241,      902,      528,      1257,      
94,       279,       587,      994,      585,      491,      1128,      762,      392,      1238,      1496,      611,      1046,      1220,      522,      1166,      1064,      402,      1241,      902,      531,      1258,      
95,       279,       587,      992,      585,      491,      1129,      761,      392,      1238,      1494,      612,      1045,      1221,      523,      1165,      1064,      402,      1241,      901,      532,      1259,      
96,       279,       587,      992,      585,      491,      1129,      761,      392,      1238,      1494,      612,      1045,      1221,      523,      1165,      1064,      402,      1241,      901,      532,      1259,      
97,       279,       598,      989,      586,      491,      1132,      761,      393,      1240,      1491,      616,      1045,      1217,      521,      1167,      1064,      403,      1246,      900,      531,      1261,      
98,       280,       603,      992,      586,      492,      1133,      761,      393,      1240,      1491,      616,      1043,      1219,      524,      1166,      1064,      403,      1246,      900,      533,      1261,      
99,       277,       599,      982,      586,      492,      1134,      761,      394,      1239,      1493,      623,      1041,      1215,      521,      1168,      1064,      402,      1250,      896,      532,      1263,      
100,       274,       602,      978,      586,      492,      1135,      761,      395,      1242,      1493,      622,      1037,      1217,      523,      1167,      1064,      404,      1250,      896,      534,      1264,      
101,       273,       602,      980,      586,      492,      1138,      761,      395,      1242,      1493,      619,      1038,      1219,      525,      1166,      1064,      404,      1249,      897,      535,      1264,      
102,       273,       602,      980,      586,      492,      1138,      761,      395,      1242,      1493,      619,      1038,      1219,      525,      1166,      1064,      404,      1249,      897,      535,      1264,      
103,       273,       602,      980,      586,      492,      1138,      761,      395,      1242,      1493,      619,      1038,      1219,      525,      1166,      1064,      404,      1249,      897,      535,      1264,      
104,       273,       602,      980,      586,      492,      1138,      761,      395,      1242,      1493,      619,      1038,      1219,      525,      1166,      1064,      404,      1249,      897,      535,      1264,      
105,       274,       582,      978,      586,      492,      1147,      760,      395,      1243,      1495,      616,      1027,      1221,      527,      1166,      1064,      404,      1247,      897,      536,      1265,      
106,       273,       586,      981,      586,      492,      1148,      759,      395,      1244,      1495,      616,      1025,      1221,      527,      1166,      1064,      404,      1247,      897,      537,      1265,      
107,       273,       586,      979,      586,      492,      1148,      759,      395,      1244,      1495,      619,      1022,      1221,      528,      1166,      1063,      404,      1246,      898,      537,      1265,      
108,       274,       587,      976,      586,      492,      1148,      759,      395,      1244,      1495,      619,      1018,      1222,      529,      1166,      1063,      404,      1246,      898,      537,      1266,      
109,       274,       589,      975,      586,      492,      1148,      759,      395,      1244,      1495,      619,      1015,      1222,      529,      1166,      1063,      404,      1246,      898,      538,      1266,      
110,       273,       603,      978,      586,      492,      1148,      759,      395,      1244,      1493,      621,      1013,      1222,      530,      1166,      1063,      404,      1246,      898,      538,      1266,      
111,       273,       606,      971,      587,      492,      1148,      758,      395,      1244,      1492,      620,      1009,      1223,      530,      1166,      1063,      404,      1245,      899,      538,      1266,      
112,       275,       602,      960,      587,      492,      1147,      758,      395,      1244,      1492,      621,      1004,      1223,      531,      1165,      1063,      404,      1245,      899,      538,      1266,      
113,       275,       605,      962,      588,      492,      1146,      758,      395,      1245,      1490,      620,      997,      1223,      532,      1164,      1064,      404,      1245,      899,      539,      1266,      
114,       275,       605,      962,      588,      492,      1146,      758,      395,      1245,      1490,      620,      997,      1223,      532,      1164,      1064,      404,      1245,      899,      539,      1266,      
115,       275,       605,      962,      588,      492,      1146,      758,      395,      1245,      1490,      620,      997,      1223,      532,      1164,      1064,      404,      1245,      899,      539,      1266,      
116,       279,       596,      925,      594,      490,      1138,      758,      395,      1245,      1483,      598,      952,      1223,      532,      1155,      1064,      404,      1244,      900,      539,      1267,      
117,       279,       578,      912,      595,      489,      1136,      758,      395,      1245,      1481,      587,      933,      1221,      531,      1151,      1064,      404,      1244,      900,      540,      1267,      
118,       279,       578,      912,      595,      489,      1136,      758,      395,      1245,      1481,      587,      933,      1221,      531,      1151,      1064,      404,      1244,      900,      540,      1267,      
119,       280,       564,      894,      597,      488,      1134,      758,      395,      1245,      1476,      579,      922,      1219,      529,      1147,      1063,      404,      1243,      900,      540,      1268,      
120,       325,       538,      900,      599,      487,      1133,      758,      395,      1245,      1469,      569,      909,      1216,      526,      1142,      1063,      404,      1243,      901,      540,      1268,      
121,       348,       521,      885,      604,      483,      1123,      759,      395,      1245,      1463,      563,      897,      1215,      524,      1136,      1063,      404,      1243,      901,      540,      1268,      
122,       362,       508,      871,      605,      481,      1119,      759,      395,      1246,      1458,      555,      886,      1212,      521,      1131,      1063,      404,      1242,      901,      540,      1269,      
123,       379,       499,      861,      607,      479,      1114,      759,      395,      1246,      1450,      545,      874,      1210,      517,      1126,      1063,      404,      1242,      901,      541,      1269,      
124,       397,       491,      855,      609,      477,      1110,      759,      395,      1246,      1442,      540,      864,      1207,      514,      1120,      1063,      403,      1241,      901,      541,      1269,      
125,       408,       488,      847,      611,      475,      1106,      759,      395,      1246,      1433,      541,      851,      1206,      510,      1113,      1062,      403,      1241,      902,      541,      1270,      
126,       394,       500,      827,      614,      473,      1103,      760,      395,      1246,      1420,      541,      846,      1202,      505,      1110,      1062,      403,      1240,      902,      542,      1270,      
127,       396,       504,      811,      618,      469,      1097,      760,      395,      1246,      1409,      536,      839,      1198,      501,      1108,      1061,      402,      1240,      902,      542,      1271,      
128,       396,       504,      811,      618,      469,      1097,      760,      395,      1246,      1409,      536,      839,      1198,      501,      1108,      1061,      402,      1240,      902,      542,      1271,      
129,       396,       504,      811,      618,      469,      1097,      760,      395,      1246,      1409,      536,      839,      1198,      501,      1108,      1061,      402,      1240,      902,      542,      1271,      
130,       458,       491,      800,      637,      462,      1087,      762,      396,      1245,      1375,      528,      804,      1185,      494,      1089,      1060,      402,      1238,      903,      543,      1271,      
131,       464,       494,      791,      641,      461,      1086,      763,      396,      1244,      1354,      523,      807,      1182,      493,      1084,      1060,      402,      1238,      903,      543,      1272,      
132,       464,       494,      791,      641,      461,      1086,      763,      396,      1244,      1354,      523,      807,      1182,      493,      1084,      1060,      402,      1238,      903,      543,      1272,      
133,       474,       493,      786,      644,      460,      1083,      763,      396,      1244,      1346,      523,      802,      1199,      506,      1029,      1060,      402,      1238,      904,      545,      1275,      
134,       490,       497,      787,      648,      460,      1081,      764,      396,      1244,      1338,      524,      789,      1198,      506,      1028,      1060,      402,      1238,      904,      545,      1275,      
135,       499,       503,      779,      652,      459,      1078,      765,      396,      1243,      1332,      526,      777,      1171,      471,      1035,      1059,      402,      1237,      904,      545,      1277,      
136,       499,       503,      779,      652,      459,      1078,      765,      396,      1243,      1332,      526,      777,      1171,      471,      1035,      1059,      402,      1237,      904,      545,      1277,      
137,       519,       535,      780,      684,      425,      1046,      766,      396,      1242,      1260,      512,      798,      1140,      490,      1076,      1059,      402,      1236,      904,      547,      1278,      
